,Movie_id,Movie,Year,Liker_num,Liker_ratio,Taiwan Film Name
0,79132,Inception,2010,29620,0.458336557,全面啟動
1,318,The Shawshank Redemption,1994,56381,0.438084212,刺激1995 
2,2571,The Matrix,1999,55485,0.431122231,駭客任務
3,58559,The Dark Knight,2008,32215,0.42938448,黑暗騎士
4,4993,The Lord of the Rings: The Fellowship of the Ring,2001,41529,0.384268041,魔戒首部曲：魔戒現身 
5,7153,The Lord of the Rings: The Return of the King,2003,37674,0.379029337,魔戒三部曲：王者再臨
6,296,Pulp Fiction,1994,48321,0.375457463,黑色追緝令 
7,2959,Fight Club,1999,46856,0.365696803,鬥陣俱樂部
8,5952,The Lord of the Rings: The Two Towers,2002,37666,0.362671751,魔戒二部曲：雙城奇謀
9,109487,Interstellar,2014,16435,0.356453467,星際效應
10,356,Forrest Gump,1994,45129,0.350655405,阿甘正傳
11,260,Star Wars: Episode IV - A New Hope,1977,43679,0.339388806,星際大戰四部曲：曙光乍現 
12,593,The Silence of the Lambs,1991,43416,0.337345279,沉默的羔羊
13,1196,Star Wars: Episode V - The Empire Strikes Back,1980,41049,0.318953527,星際大戰五部曲：帝國大反擊 
14,2858,American Beauty,1999,40243,0.312690852,美國心玫瑰情
15,858,The Godfather,1972,39397,0.306117375,教父
16,1198,Raiders of the Lost Ark,1981,38277,0.297414898,法櫃奇兵 
17,527,Schindler's List,1993,38256,0.297251727,辛德勒的名單 
18,50,The Usual Suspects,1995,36738,0.285456763,刺激驚爆點 
19,4226,Memento,2000,31853,0.283027083,記憶拼圖
20,134130,The Martian,2015,11779,0.276645216,絕地救援
21,99114,Django Unchained,2012,14610,0.274701514,決殺令
22,1210,Star Wars: Episode VI - Return of the Jedi,1983,33709,0.261921227,星際大戰六部曲：絕地大反攻 
23,2028,Saving Private Ryan,1998,33237,0.258253755,搶救雷恩大兵 
24,60069,WALL·E,2008,19384,0.257958054,瓦力
25,2762,The Sixth Sense,1999,32807,0.254912626,靈異第六感
26,3578,Gladiator,2000,30337,0.252280646,神鬼戰士
27,7361,Eternal Sunshine of the Spotless Mind,2004,24246,0.247620409,王牌冤家 
28,164179,Arrival,2016,7093,0.245322173,異星入境
29,68954,Up,2009,17099,0.245270028,天外奇蹟
30,1270,Back to the Future,1985,31432,0.244228782,回到未來
31,68157,Inglourious Basterds,2009,16346,0.238370228,惡棍特工 
32,4973,Amelie,2001,25697,0.237352792,艾蜜莉的異想世界
33,91529,The Dark Knight Rises,2012,13682,0.236573642,黑暗騎士：黎明昇起
34,48516,The Departed,2006,19369,0.232000192,神鬼無間
35,112852,Guardians of the Galaxy,2014,10844,0.231244935,星際異攻隊
36,116797,The Imitation Game,2014,10629,0.231170752,模仿遊戲 
37,33794,Batman Begins,2005,20835,0.23023117,蝙蝠俠：開戰時刻
38,110,Braveheart,1995,29187,0.226784979,梅爾吉勃遜之英雄本色
39,47,Seven,1995,29171,0.226660658,火線追緝令
40,4306,Shrek,2001,25062,0.224037903,史瑞克
41,589,Terminator 2: Judgment Day,1991,28813,0.223878973,魔鬼終結者2 
42,6539,Pirates of the Caribbean: The Curse of the Black Pearl,2003,22402,0.221573825,神鬼奇航：鬼盜船魔咒 
43,608,Fargo,1996,28504,0.221478022,冰血暴
44,6874,Kill Bill: Vol. 1,2003,22074,0.220444604,追殺比爾 
45,1,Toy Story,1995,28246,0.219473345,玩具總動員
46,1704,Good Will Hunting,1997,27769,0.215767022,心靈捕手
47,134853,Inside Out,2015,9073,0.212601931,腦筋急轉彎
48,6377,Finding Nemo,2003,21484,0.211633749,海底總動員 
49,1193,One Flew Over the Cuckoo's Nest,1975,27093,0.210514456,飛越杜鵑窩 
50,59315,Iron Man,2008,15943,0.210268787,鋼鐵人
51,1136,Monty Python and the Holy Grail,1975,26922,0.209185775,聖杯傳奇 
52,106782,The Wolf of Wall Street,2013,10178,0.207278578,華爾街之狼
53,195159,Spider-Man: Into the Spider-Verse,2018,2336,0.207128924,蜘蛛人：新宇宙 
54,122904,Deadpool,2016,8795,0.205509861,惡棍英雄：死侍
55,1197,The Princess Bride,1987,26401,0.205137569,公主新娘 
56,1221,The Godfather: Part II,1974,26254,0.203995369,教父II 
57,48780,The Prestige,2006,16976,0.203864491,頂尖對決
58,8961,The Incredibles,2004,19186,0.20121235,超人特攻隊
59,4886,"Monsters, Inc.",2001,21715,0.199740609,怪獸電力公司 
60,4995,A Beautiful Mind,2001,21551,0.199566623,美麗境界
61,122882,Mad Max: Fury Road,2015,8593,0.196807292,瘋狂麥斯：憤怒道 
62,44191,V for Vendetta,2006,16797,0.194876614,V怪客 
63,74458,Shutter Island,2010,12820,0.192944434,隔離島
64,1214,Alien,1979,24818,0.192837551,異形
65,1089,Reservoir Dogs,1992,24757,0.192363577,霸道橫行 
66,541,Blade Runner,1982,24744,0.192262566,銀翼殺手 
67,72998,Avatar,2009,12866,0.191321675,阿凡達
68,109374,The Grand Budapest Hotel,2014,9232,0.191217896,歡迎來到布達佩斯大飯店
69,1291,Indiana Jones and the Last Crusade,1989,24415,0.189706214,聖戰奇兵 
70,1213,Goodfellas,1990,24350,0.189201159,四海好傢伙
71,2329,American History X,1998,24258,0.188486313,美國X檔案 
72,115713,Ex Machina,2015,8496,0.187041807,機械姬
73,112556,Gone Girl,2014,8663,0.186686493,控制
74,480,Jurassic Park,1993,23984,0.186357314,侏羅紀公園
75,204698,Joker,2019,597,0.185173697,小丑
76,112552,Whiplash,2014,8597,0.184925466,進擊的鼓手
77,7438,Kill Bill: Vol. 2,2004,17958,0.184177059,追殺比爾2：愛的大逃殺 
78,5418,The Bourne Identity,2002,19045,0.180422138,神鬼認證
79,1240,The Terminator,1984,23186,0.1801568,魔鬼終結者
80,1265,Groundhog Day,1993,23060,0.179177771,今天暫時停止
81,89745,The Avengers,2012,10502,0.178992041,復仇者聯盟
82,4963,Ocean's Eleven,2001,19159,0.17724552,瞞天過海
83,5989,Catch Me If You Can,2002,18239,0.175802674,神鬼交鋒
84,111759,Edge of Tomorrow,2014,8227,0.173678988,明日邊界
85,5618,Spirited Away,2001,18134,0.173059121,神隱少女
86,3147,The Green Mile,1999,21792,0.173000437,綠色奇蹟
87,32,Twelve Monkeys,1995,22157,0.1721614,未來總動員
88,168252,Logan,2017,4357,0.172091002,羅根
89,1036,Die Hard,1988,22139,0.172021539,終極警探
90,54286,The Bourne Ultimatum,2007,13567,0.171157873,神鬼認證：最後通牒
91,55820,No Country for Old Men,2007,13339,0.171129101,險路勿近
92,4878,Donnie Darko,2001,18495,0.169990809,怵目驚魂28天
93,92259,Intouchables,2011,9661,0.168380508,逆轉人生
94,293,Léon: The Professional,1994,21612,0.167926713,終極追殺令（盧貝松）
95,48394,Pan's Labyrinth,2006,13834,0.167867977,羊男的迷宮
96,187593,Deadpool 2,2018,2525,0.16411023,死侍2
97,63082,Slumdog Millionaire,2008,11882,0.163661658,貧民百萬富翁
98,122886,Star Wars: Episode VII - The Force Awakens,2015,7363,0.163469651,STAR WARS：原力覺醒
99,4011,Snatch,2000,18531,0.162569744,偷拐搶騙
100,176371,Blade Runner 2049,2017,3381,0.161863271,銀翼殺手2049
101,70286,District 9,2009,11117,0.161713579,第九禁區
102,1682,The Truman Show,1998,20800,0.161617417,楚門的世界
103,2997,Being John Malkovich,1999,20471,0.160927944,變腦
104,1200,Aliens,1986,20602,0.160078944,異形2
105,152081,Zootopia,2016,5551,0.159186717,動物方城市
106,1258,The Shining,1980,20329,0.157957715,鬼店
107,3996,"Crouching Tiger, Hidden Dragon",2000,17842,0.155261234,臥虎藏龍
108,5445,Minority Report,2002,16215,0.153682115,關鍵報告
109,1206,A Clockwork Orange,1971,19742,0.153396685,發條橘子
110,6016,City of God,2002,15859,0.153132363,無法無天
111,81845,The King's Speech,2010,9608,0.152998503,王者之聲：宣戰時刻
112,1617,L.A. Confidential,1997,19646,0.152650759,鐵面特警隊
113,49272,Casino Royale,2006,12535,0.151146106,007首部曲：皇家夜總會
114,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,19452,0.151143366,奇愛博士
115,457,The Fugitive,1993,19411,0.150824793,絕命追殺令（哈里遜福特）
116,912,Casablanca,1942,19169,0.148944436,北非諜影
117,88125,Harry Potter and the Deathly Hallows: Part 2,2011,8816,0.148145659,哈利波特：死神的聖物Ⅱ
118,1732,The Big Lebowski,1998,18967,0.147374882,謀殺綠腳趾
119,166528,Rogue One: A Star Wars Story,2016,4010,0.147010302,星際大戰外傳：俠盜一號
120,32587,Sin City,2005,13525,0.146652209,萬惡城市
121,1580,Men in Black,1997,18845,0.146426934,MIB星際戰警
122,2716,Ghostbusters,1984,18732,0.145548916,魔鬼剋星
123,68358,Star Trek,2009,10152,0.145022356,星際爭霸戰
124,1527,The Fifth Element,1997,18662,0.145005012,第五元素
125,50872,Ratatouille,2007,11535,0.144997675,料理鼠王
126,46578,Little Miss Sunshine,2006,12106,0.143417327,小太陽的願望
127,2324,Life Is Beautiful,1997,18419,0.143116885,美麗人生（羅貝托·貝尼尼）
128,1208,Apocalypse Now,1979,18345,0.1425419,現代啟示錄
129,148626,The Big Short,2015,5228,0.142432911,大賣空
130,78499,Toy Story 3,2010,9244,0.142302956,玩具總動員3
131,115617,Big Hero 6,2014,6558,0.142194276,大英雄天團
132,924,2001: A Space Odyssey,1968,18270,0.141959145,2001太空漫遊
133,81834,Harry Potter and the Deathly Hallows: Part 1,2010,8904,0.141675153,哈利波特：死神的聖物Ⅰ
134,1222,Full Metal Jacket,1987,18158,0.141088897,金甲部隊
135,8368,Harry Potter and the Prisoner of Azkaban,2004,13662,0.140543988,哈利波特：阿茲卡班的逃犯
136,364,The Lion King,1994,17911,0.139169691,獅子王
137,2918,Ferris Bueller's Day Off,1986,17807,0.138620104,蹺課天才
138,111,Taxi Driver,1976,17805,0.138346063,計程車司機
139,1961,Rain Man,1988,17795,0.138268363,雨人
140,106920,Her,2013,6789,0.13823224,雲端情人
141,1097,E.T. the Extra-Terrestrial,1982,17695,0.137491356,E.T.外星人
142,76093,How to Train Your Dragon,2010,9053,0.137337298,馴龍高手
143,168250,Get Out,2017,3438,0.135760543,逃出絕命鎮
144,56367,Juno,2007,10515,0.135649414,鴻孕當頭
145,778,Trainspotting,1996,17380,0.135043784,猜火車
146,4027,"O Brother, Where Art Thou?",2000,15270,0.133907431,霹靂高手
147,3949,Requiem for a Dream,2000,15603,0.133511885,噩夢輓歌
148,3793,X-Men,2000,15752,0.132559118,X戰警
149,177765,Coco,2017,2739,0.132120978,可可夜總會
150,8874,Shaun of the Dead,2004,12641,0.131651027,活人甡吃
151,150,Apollo 13,1995,16817,0.130669236,阿波羅13號
152,81591,Black Swan,2010,8204,0.13027185,黑天鵝
153,4896,Harry Potter and the Sorcerer's Stone,2001,14103,0.129915711,哈利波特：神秘的魔法石
154,8665,The Bourne Supremacy,2004,12535,0.129694775,神鬼認證：神鬼疑雲
155,3114,Toy Story 2,1999,16377,0.129573074,玩具總動員2
156,177593,"Three Billboards Outside Ebbing, Missouri",2017,2628,0.127461441,意外
157,104841,Gravity,2013,6361,0.126824308,地心引力
158,69844,Harry Potter and the Half-Blood Prince,2009,8753,0.126765051,哈利波特：混血王子的背叛
159,80463,The Social Network,2010,8050,0.126252725,社群網戰
160,119145,Kingsman: The Secret Service,2015,5692,0.125784496,金牌特務
161,5349,Spider-Man,2002,13241,0.12488564,蜘蛛人
162,40815,Harry Potter and the Goblet of Fire,2005,10993,0.124798492,哈利波特：火盃的考驗
163,64614,Gran Torino,2008,8938,0.123879087,經典老爺車
164,2502,Office Space,1999,15897,0.123520773,上班一條蟲
165,6711,Lost in Translation,2003,12377,0.123324797,愛情，不用翻譯
166,73017,Sherlock Holmes,2009,8152,0.121240965,福爾摩斯
167,5995,The Pianist,2002,12574,0.121169487,戰地琴人
168,69122,The Hangover,2009,8425,0.121062766,醉後大丈夫
169,1721,Titanic,1997,15293,0.118827652,鐵達尼號
170,48774,Children of Men,2006,9694,0.117870214,人類之子
171,4022,Cast Away,2000,13359,0.117143108,浩劫重生
172,1246,Dead Poets Society,1989,15068,0.117079387,春風化雨
173,71535,Zombieland,2009,7955,0.116921675,屍樂園
174,139385,The Revenant,2015,4254,0.116781508,神鬼獵人
175,904,Rear Window,1954,15021,0.116714194,後窗
176,51662,300,2007,9464,0.116685366,300壯士:斯巴達的逆襲
177,588,Aladdin,1992,14931,0.116014887,阿拉丁
178,1219,Psycho,1960,14731,0.114460874,驚魂記
179,194448,Green Book,2018,1337,0.113884157,幸福綠皮書
180,1259,Stand by Me,1986,14645,0.113792648,站在我這邊
181,919,The Wizard of Oz,1939,14633,0.113699407,綠野仙蹤
182,91500,The Hunger Games,2012,6399,0.112942796,飢餓遊戲
183,2396,Shakespeare in Love,1998,14533,0.1129224,莎翁情史
184,1968,The Breakfast Club,1985,14522,0.11283693,早餐俱樂部
185,1080,Monty Python's Life of Brian,1979,14492,0.112603828,萬世魔星
186,68237,Moon,2009,7877,0.112485184,2009月球漫遊
187,51255,Hot Fuzz,2007,8961,0.111385954,終棘警探
188,98809,The Hobbit: An Unexpected Journey,2012,5876,0.110248039,哈比人：意外旅程
189,111362,X-Men: Days of Future Past,2014,5183,0.109145661,X戰警：未來昔日
190,5816,Harry Potter and the Chamber of Secrets,2002,11364,0.108960161,哈利波特：消失的密室
191,2542,"Lock, Stock & Two Smoking Barrels",1998,13984,0.108656633,兩根槍管
192,96079,Skyfall,2012,5831,0.108197877,007：空降危機
193,174055,Dunkirk,2017,2370,0.108184599,敦克爾克大行動
194,171763,Baby Driver,2017,2444,0.108146378,玩命再劫
195,1225,Amadeus,1984,13852,0.107630984,阿瑪迪斯
196,202429,Once Upon a Time in Hollywood,2019,598,0.107534616,從前，有個好萊塢
197,115569,Nightcrawler,2014,4904,0.106174764,獨家腥聞
198,3897,Almost Famous,2000,12386,0.105785491,成名在望
199,54001,Harry Potter and the Order of the Phoenix,2007,8375,0.105275728,哈利波特：鳳凰會的密令
200,2291,Edward Scissorhands,1990,13491,0.104825989,剪刀手愛德華 
201,87232,X-Men: First Class,2011,6284,0.104815439,X戰警：第一戰 
202,7147,Big Fish,2003,10400,0.104598302,大智若魚
203,1610,The Hunt for Red October,1990,13421,0.104282085,獵殺紅色十月 
204,1387,Jaws,1975,13236,0.102844622,大白鯊 
205,2115,Indiana Jones and the Temple of Doom,1984,13197,0.102541589,魔宮傳奇 
206,2692,Run Lola Run,1998,13127,0.101997685,蘿拉快跑
207,1653,Gattaca,1997,13118,0.101927754,千鈞一髮
208,110102,Captain America: The Winter Soldier,2014,4885,0.101811134,美國隊長2 
209,1784,As Good as It Gets,1997,13093,0.101733502,愛在心裡口難開 
210,1201,"The Good, the Bad and the Ugly",1966,13003,0.101034196,荒野大鏢客
211,187541,Incredibles 2,2018,1569,0.100551141,超人特攻隊2
212,84152,Limitless,2011,6117,0.100114566,藥命效應
213,142488,Spotlight,2015,3977,0.099924623,驚爆焦點
214,192803,Bohemian Rhapsody,2018,1231,0.099764973,波希米亞狂想曲
215,122922,Doctor Strange,2016,3622,0.099560198,奇異博士
216,1203,12 Angry Men,1957,12776,0.099270391,十二怒漢 
217,1307,When Harry Met Sally...,1989,12725,0.098874117,當哈利碰上莎莉 
218,780,Independence Day,1996,12720,0.098835267,ID4
219,2791,Airplane!,1980,12712,0.098773106,空前絕後滿天飛
220,923,Citizen Kane,1941,12648,0.098275822,大國民
221,94959,Moonrise Kingdom,2012,5406,0.097507305,月昇冒險王國 
222,122918,Guardians of the Galaxy 2,2017,4152,0.097018413,星際異攻隊2
223,6333,X2: X-Men United,2003,9858,0.096897853,X戰警2
224,54503,Superbad,2007,7584,0.096072967,男孩我最壞
225,908,North by Northwest,1959,12284,0.095447517,北西北 
226,96610,Looper,2012,5152,0.095081665,迴路殺手
227,27773,Old Boy,2003,8893,0.09484248,原罪犯
228,223,Clerks,1994,12186,0.09468605,瘋狂店員 
229,6502,28 Days Later,2002,9574,0.094649636,28天毀滅倒數
230,69757,(500) Days of Summer,2009,6531,0.094501519,戀夏500日 
231,60684,Watchmen,2009,6701,0.094469429,守護者
232,1252,Chinatown,1974,12142,0.094344167,唐人街
233,30707,Million Dollar Baby,2004,8906,0.093949112,登峰造擊
234,97921,Silver Linings Playbook,2012,5047,0.093862749,派特的幸福劇本
235,1247,The Graduate,1967,12031,0.09348169,畢業生
236,590,Dances with Wolves,1990,11970,0.093007716,與狼共舞 
237,88129,Drive,2011,5524,0.092835655,落日車神
238,8636,Spider-Man 2,2004,8973,0.092650339,蜘蛛人2
239,8360,Shrek 2,2004,8976,0.092330481,史瑞克2
240,122912,Avengers: Infinity War - Part I,2018,3936,0.091870317,復仇者聯盟3：無限之戰
241,34405,Serenity,2005,8167,0.09181253,衝出寧靜號
242,44555,The Lives of Others,2006,7466,0.091705256,竊聽風暴
243,49530,Blood Diamond,2006,7570,0.091532351,血鑽石
244,1923,There's Something About Mary,1998,11758,0.091360461,哈啦瑪莉 
245,106100,Dallas Buyers Club,2013,4521,0.091294602,藥命俱樂部
246,112183,Birdman: Or,2014,4214,0.091148988,鳥人 
247,4034,Traffic,2000,10384,0.091062957,天人交戰
248,57669,In Bruges,2008,6968,0.090581735,殺手沒有假期 
249,1073,Willy Wonka & the Chocolate Factory,1971,11616,0.090257112,歡樂糖果屋
250,2916,Total Recall,1990,11594,0.090254478,魔鬼總動員 
251,56782,There Will Be Blood,2007,6972,0.090202218,黑金企業
252,106487,The Hunger Games: Catching Fire,2013,4452,0.090110513,飢餓遊戲：星火燎原 
253,59369,Taken,2008,6490,0.089380397,即刻救援
254,1625,The Game,1997,11495,0.089316933,致命遊戲
255,6365,The Matrix Reloaded,2003,9067,0.089271122,駭客任務：重裝上陣
256,4262,Scarface,1983,9998,0.089224042,疤面煞星
257,91658,The Girl with the Dragon Tattoo,2011,5137,0.089029463,龍紋身的女孩
258,97304,Argo,2012,4806,0.088958815,亞果出任務
259,4979,The Royal Tenenbaums,2001,9585,0.088705647,天才一族
260,33493,Star Wars: Episode III - Revenge of the Sith,2005,8073,0.088704538,星際大戰三部曲：西斯大帝的復仇
261,128360,The Hateful Eight,2015,3942,0.088482862,八惡人
262,76251,Kick-Ass,2010,5795,0.088104722,特攻聯盟
263,7254,The Butterfly Effect,2004,8708,0.088001374,蝴蝶效應 
264,106489,The Hobbit: The Desolation of Smaug,2013,4332,0.08792547,哈比人：荒谷惡龍 
265,166461,Moana,2016,2426,0.087470705,海洋奇緣
266,201773,Spider-Man: Far from Home,2019,604,0.087384259,蜘蛛人：離家日
267,595,Beauty and the Beast,1991,11161,0.086721731,美女與野獸
268,85414,Source Code,2011,5270,0.086579375,啟動原始碼 
269,1220,The Blues Brothers,1980,11128,0.086465318,福祿雙霸天
270,3481,High Fidelity,2000,10503,0.086454406,失戀排行榜
271,31658,Howl's Moving Castle,2004,7823,0.086298952,霍爾的移動城堡 
272,592,Batman,1989,11095,0.086208906,蝙蝠俠
273,1207,To Kill a Mockingbird,1962,11053,0.085882563,梅岡城故事
274,903,Vertigo,1958,11041,0.085789322,迷魂記
275,1230,Annie Hall,1977,10991,0.085400819,安妮霍爾 
276,30749,Hotel Rwanda,2004,8081,0.085231827,盧安達飯店
277,79702,Scott Pilgrim vs. the World,2010,5471,0.085118631,歪小子史考特
278,2987,Who Framed Roger Rabbit?,1988,10837,0.084848342,威探闖通關 
279,7143,The Last Samurai,2003,8390,0.084374183,末代武士
280,55247,Into the Wild,2007,6625,0.084349775,阿拉斯加之死
281,2355,A Bug's Life,1998,10816,0.084041057,蟲蟲危機
282,102445,Star Trek Into Darkness,2013,4328,0.08396058,闇黑無界：星際爭霸戰 
283,1234,The Sting,1973,10805,0.083955586,刺激
284,2011,Back to the Future Part II,1989,10791,0.083846805,回到未來2 
285,1288,This Is Spinal Tap,1984,10789,0.083831265,搖滾萬萬歲 
286,1584,Contact,1997,10776,0.083730254,接觸未來
287,91542,Sherlock Holmes: A Game of Shadows,2011,4824,0.083441441,福爾摩斯：詭影遊戲 
288,115149,John Wick,2014,3847,0.083142425,捍衛任務
289,733,The Rock,1996,10667,0.082883317,絕地任務
290,1148,Wallace & Gromit: The Wrong Trousers,1993,10605,0.082401573,超級無敵掌門狗：引鵝入室 
291,47610,The Illusionist,2006,6923,0.082351962,魔幻至尊
292,79091,Despicable Me,2010,5311,0.082122093,神偷奶爸
293,122916,Thor: Ragnarok,2017,3679,0.082072904,雷神索爾3：諸神黃昏
294,45722,Pirates of the Caribbean: Dead Man's Chest,2006,6939,0.0819109,神鬼奇航2：加勒比海盜 
295,2797,Big,1988,10532,0.081834358,飛進未來
296,97938,Life of Pi,2012,4368,0.0816235,少年Pi的奇幻漂流
297,1079,A Fish Called Wanda,1988,10476,0.081399234,笨賊一籮筐 
298,122892,Avengers: Age of Ultron,2015,3659,0.081157813,復仇者聯盟2
299,164909,La La Land,2016,2234,0.080351041,樂來越愛你
